step,coverage,test_greedy,test_beam,test_at10
100000,0.8333333333333334,0.23076923076923078,0.46153846153846156,0.6153846153846154
200000,0.9958333333333333,0.5,0.8461538461538461,0.8846153846153846
300000,1.0,0.5769230769230769,0.8076923076923077,0.9615384615384616
400000,1.0,0.5769230769230769,0.7692307692307693,0.7692307692307693
500000,1.0,0.6538461538461539,0.8846153846153846,0.7692307692307693
600000,1.0,0.5384615384615384,0.8846153846153846,0.8461538461538461
700000,1.0,0.6923076923076923,0.8846153846153846,0.8846153846153846
800000,1.0,0.5,0.7692307692307693,0.7692307692307693
900000,1.0,0.5384615384615384,0.8076923076923077,0.8076923076923077
1000000,1.0,0.46153846153846156,0.8461538461538461,0.8461538461538461
